Date,newInfections
2021-01-10,108
2021-01-17,111
2021-01-24,59
2021-01-31,44
2021-02-07,39
2021-02-14,46
2021-02-21,25
2021-02-28,42
2021-03-07,59
2021-03-14,69
2021-03-21,77
2021-03-28,62
2021-04-04,78
2021-04-11,53
2021-04-18,103
2021-04-25,134
2021-05-02,142
2021-05-09,87
2021-05-16,46
2021-05-23,25
2021-05-30,73
2021-06-06,60
2021-06-13,66
2021-06-20,74
2021-06-27,164
2021-07-04,253
2021-07-11,345
2021-07-18,792
2021-07-25,1013
2021-08-01,1462
2021-08-08,1939
2021-08-15,2767
2021-08-22,4932
2021-08-29,7250
2021-09-05,10350
2021-09-12,11920
2021-09-19,12110
2021-09-26,11950
2021-10-03,13890
2021-10-10,16160
2021-10-17,15720
2021-10-24,15510
2021-10-31,11940
2021-11-07,9840
2021-11-14,9330
2021-11-21,8860
2021-11-28,9540
2021-12-05,9860
2021-12-12,11080
2021-12-19,21790
2021-12-26,51220
2022-01-02,160820
