week,averageMin,averageMax,number2020,number2021,analysis2020,analysis2021,average,covid2020,covid2021,maleAve,male2020,male2021,femaleAve,female2020,female2021
1,2452,2573,2510,2625,InRange,Above,2498,0,0,1236,1255,1355,1262,1255,1270
2,2369,2601,2523,2556,InRange,InRange,2490,0,1,1221,1284,1304,1268,1239,1252
3,2368,2607,2516,2716,InRange,Above,2465,0,0,1244,1295,1384,1221,1221,1332
4,2328,2565,2619,2564,Above,InRange,2446,0,0,1205,1293,1303,1241,1326,1261
5,2270,2550,2523,2695,InRange,Above,2451,0,1,1215,1247,1392,1236,1276,1303
6,2357,2570,2547,2578,InRange,Above,2456,0,0,1213,1272,1293,1243,1275,1285
7,2387,2594,2630,2560,Above,InRange,2463,0,0,1218,1323,1330,1245,1307,1230
8,2322,2669,2632,2685,InRange,Above,2488,0,0,1245,1360,1297,1243,1272,1388
9,2365,2610,2696,2658,Above,Above,2487,1,0,1239,1329,1351,1248,1367,1307
10,2446,2663,2614,2733,InRange,Above,2525,2,1,1256,1343,1352,1268,1271,1381
11,2346,2608,2591,2704,InRange,Above,2468,2,0,1223,1318,1386,1245,1273,1318
12,2451,2557,2708,2680,Above,Above,2514,3,0,1265,1288,1374,1249,1420,1306
13,2432,2620,2781,2695,Above,Above,2514,11,1,1264,1446,1380,1250,1335,1315
14,2424,2631,2875,2594,Above,InRange,2531,21,0,1284,1433,1243,1247,1442,1351
15,2500,2691,2796,2867,Above,Above,2570,19,1,1286,1409,1466,1284,1387,1401
16,2483,2666,2692,2836,Above,Above,2588,8,0,1301,1354,1440,1287,1338,1396
17,2477,2621,2715,2843,Above,Above,2564,9,0,1266,1381,1387,1298,1334,1456
18,2496,2661,2671,2978,Above,Above,2607,10,0,1268,1350,1457,1339,1321,1521
19,2598,2815,2822,2943,Above,Above,2726,3,0,1376,1441,1455,1350,1381,1488
20,2634,2811,2710,2954,InRange,Above,2734,3,0,1345,1395,1512,1389,1315,1442
21,2668,2908,2819,3087,InRange,Above,2801,3,0,1383,1455,1541,1417,1364,1546
22,2658,2959,2808,2945,InRange,InRange,2823,0,0,1397,1401,1469,1427,1407,1476
23,2740,2961,2749,3136,InRange,Above,2869,0,0,1446,1382,1584,1423,1367,1552
24,2685,3039,2745,3046,InRange,Above,2826,0,0,1427,1392,1479,1399,1353,1567
25,2694,3031,2691,2991,Below,InRange,2858,2,0,1426,1343,1487,1432,1348,1504
26,2777,3009,2680,3024,Below,Above,2891,1,0,1432,1333,1490,1459,1347,1534
27,2847,3031,2771,3081,Below,Above,2958,1,1,1456,1395,1570,1502,1376,1511
28,2836,3099,2801,3132,Below,Above,2954,4,2,1489,1424,1600,1465,1377,1532
29,2884,3251,2773,3179,Below,InRange,3010,16,3,1470,1401,1614,1540,1372,1565
30,2928,3248,2926,3240,Below,InRange,3063,47,5,1540,1500,1612,1522,1426,1628
31,2915,3329,2959,3059,InRange,InRange,3012,97,12,1474,1510,1552,1539,1449,1507
32,2836,3303,2952,3026,InRange,InRange,3025,96,24,1511,1459,1512,1514,1493,1514
33,2972,3251,3068,3078,InRange,InRange,3068,135,18,1514,1612,1542,1554,1456,1536
34,2916,3280,2895,3024,Below,InRange,3085,104,15,1528,1480,1433,1557,1415,1591
35,2994,3369,2882,3081,Below,InRange,3098,82,39,1510,1453,1524,1588,1429,1557
36,2893,3179,2896,2965,InRange,InRange,3029,53,47,1479,1452,1482,1551,1444,1483
37,2738,3293,2826,3061,InRange,InRange,2972,41,58,1455,1401,1504,1517,1425,1557
38,2749,3173,2713,2942,Below,InRange,2913,28,77,1465,1327,1474,1448,1386,1468
39,2724,2913,2794,3050,InRange,Above,2806,21,92,1382,1415,1544,1424,1379,1506
40,2745,2924,2799,2957,InRange,Above,2820,13,97,1390,1455,1495,1430,1344,1462
41,2693,2793,2671,2907,Below,Above,2751,5,91,1354,1313,1500,1397,1358,1407
42,2622,2759,2641,2944,InRange,Above,2708,3,85,1336,1344,1463,1372,1297,1481
43,2550,2773,2599,2852,InRange,Above,2654,1,92,1318,1336,1447,1336,1263,1405
44,2518,2689,2651,2861,InRange,Above,2638,1,79,1314,1350,1444,1324,1301,1417
45,2509,2764,2679,2683,InRange,InRange,2609,3,53,1308,1355,1318,1301,1324,1365
46,2402,2655,2734,2788,Above,Above,2545,2,61,1280,1364,1438,1265,1370,1350
47,2512,2649,2633,2791,InRange,Above,2587,1,41,1288,1326,1395,1299,1307,1396
48,2507,2602,2569,2793,InRange,Above,2546,1,40,1258,1285,1458,1288,1284,1335
49,2381,2589,2704,2725,Above,Above,2507,0,29,1260,1328,1372,1246,1376,1353
50,2523,2604,2634,2777,Above,Above,2571,0,43,1276,1315,1385,1295,1319,1392
51,2443,2542,2648,2824,Above,Above,2519,0,49,1252,1334,1451,1267,1314,1373
52,2345,2558,2662,2685,Above,Above,2458,1,59,1239,1339,1367,1219,1323,1318
53,2345,2558,2578,2882,Above,Above,2458,1,59,1239,1282,1367,1219,1296,1318
